Date,Open,High,Low,Close / Last,Volume,,,,,,,,
03/23/2018,170.00 ,172.68 ,168.60 ,168.85 ,41480332.00 ,,,,,,,,
03/22/2018,170.00 ,172.68 ,168.60 ,168.85 ,41335980.00 ,,,,,,,,
03/21/2018,175.04 ,175.09 ,171.26 ,171.27 ,36387880.00 ,,,,,,,,
03/20/2018,175.24 ,176.80 ,174.94 ,175.24 ,19620520.00 ,,,,,,,,
03/19/2018,177.32 ,177.47 ,173.66 ,175.30 ,32931110.00 ,,,,,,,,
03/16/2018,178.65 ,179.12 ,177.62 ,178.02 ,38313330.00 ,,,,,,,,
03/15/2018,178.50 ,180.24 ,178.07 ,178.65 ,22676520.00 ,,,,,,,,
03/14/2018,180.32 ,180.52 ,177.81 ,178.44 ,29334630.00 ,,,,,,,,
03/13/2018,182.59 ,183.50 ,179.24 ,179.97 ,31464170.00 ,,,,,,,,
03/12/2018,180.29 ,182.39 ,180.21 ,181.72 ,32191070.00 ,,,,,,,,
03/09/2018,177.96 ,180.00 ,177.39 ,179.98 ,32130360.00 ,,,,,,,,
03/08/2018,175.48 ,177.12 ,175.07 ,176.94 ,24518850.00 ,,,,,,,,
03/07/2018,174.94 ,175.85 ,174.27 ,175.03 ,31686450.00 ,,,,,,,,
03/06/2018,177.91 ,178.25 ,176.13 ,176.67 ,23273160.00 ,,,,,,,,
03/05/2018,175.21 ,177.74 ,174.52 ,176.82 ,27825140.00 ,,,,,,,,
03/02/2018,172.80 ,176.30 ,172.45 ,176.21 ,38426060.00 ,,,,,,,,
03/01/2018,178.54 ,179.78 ,172.66 ,175.00 ,48706170.00 ,,,,,,,,
02/28/2018,179.26 ,180.62 ,178.05 ,178.12 ,37568080.00 ,,,,,,,,
02/27/2018,179.10 ,180.48 ,178.16 ,178.39 ,38885510.00 ,,,,,,,,
02/26/2018,176.35 ,179.39 ,176.21 ,178.97 ,37353670.00 ,,,,,,,,
02/23/2018,173.67 ,175.65 ,173.54 ,175.50 ,33772050.00 ,,,,,,,,
02/22/2018,171.80 ,173.95 ,171.71 ,172.50 ,30953760.00 ,,,,,,,,
02/21/2018,172.83 ,174.12 ,171.01 ,171.07 ,37378070.00 ,,,,,,,,
02/20/2018,172.05 ,174.26 ,171.42 ,171.85 ,33690660.00 ,,,,,,,,
02/16/2018,172.36 ,174.82 ,171.77 ,172.43 ,40113790.00 ,,,,,,,,
02/15/2018,169.79 ,173.09 ,169.00 ,172.99 ,50908540.00 ,,,,,,,,
02/14/2018,163.05 ,167.54 ,162.88 ,167.37 ,40382890.00 ,,,,,,,,
